Name,Nationality,Team,Position,Age,Games,Games_starts,Minutes,Goals,Assists,Cards_yellow,Cards_red,Xg,Xg_assist,Progressive_carries,Progressive_passes,Progressive_passes_received,Goals_per90,Assists_per90,Xg_per90,Xg_assist_per90,Gk_goals_against_per90,Gk_save_pct,Gk_clean_sheet_pct,Gk_pens_save_pct,Shots_on_target_pct,Shots_per90,Goals_per_shot,Average_shot_distance,Passes_completed,Passes_pct,Passes_total_distance,Passes_pct_short,Passes_pct_medium,Passes_pct_long,Assisted_shots,Passes_into_final_third,Passes_into_penalty_area,Crosses_into_penalty_area,Progressive_passes,Sca,Sca_per90,Gca,Gca_per90,Tackles,Tackles_won,Challenge_tackles,Challenges_lost,Blocks,Blocked_shots,Blocked_passes,Interceptions,Touches,Touches_def_pen_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_pen_area,Take_ons,Take_ons_won_pct,Take_ons_tackled_pct,Carries,Carries_progressive_distance,Progressive_carries,Carries_into_final_third,Carries_into_penalty_area,Miscontrols,Dispossessed,Passes_received,Progressive_passes_received,Fouls,Fouled,Offsides,Crosses,Ball_recoveries,Aerials_won,Aerials_lost,Aerials_won_pct
Benoît Badiashile,FR,Chelsea,DF,24-040,5,3,334,0,0,0,0,0.0,0.0,3,17,2,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,273,89.8,4820,93.3,93.8,65.6,0,37,1,0,17,0,0.0,0,0.0,9,6,4,1,2,2,0,6,336,31,138,186,13,0,1,0.0,100.0,177,340,3,5,0,1,0,247,2,6,2,0,0,18,8,2,80.0
Leon Bailey,JM,Aston Villa,FWMF,27-269,23,14,1138,1,2,3,0,1.7,1.5,57,35,121,0.08,0.16,0.14,0.12,N/a,N/a,N/a,N/a,21.4,2.21,0.04,17.3,273,70.7,4275,81.4,81.1,47.4,16,16,20,2,35,38,3.01,4,0.32,6,4,2,8,6,0,6,3,539,18,76,155,318,69,57,38.6,42.1,344,1334,57,22,33,35,25,386,121,12,18,3,34,59,6,9,40.0
Carlos Baleba,CM,Brighton,MF,21-122,31,28,2403,3,1,8,1,3.0,1.3,40,111,27,0.11,0.04,0.11,0.05,N/a,N/a,N/a,N/a,26.8,1.54,0.07,25.3,1048,87.2,17638,92.6,91.7,62.3,20,103,22,2,111,60,2.25,4,0.15,71,41,44,28,44,10,34,40,1556,88,375,917,303,12,52,59.6,34.6,886,2588,40,40,3,37,37,944,27,38,44,0,8,176,38,24,61.3
Ross Barkley,ENG,Aston Villa,MF,31-151,18,3,571,3,1,3,0,1.7,0.6,15,33,10,0.47,0.16,0.27,0.1,N/a,N/a,N/a,N/a,33.3,2.36,0.2,14.0,326,86.0,5081,88.5,91.4,68.4,9,29,6,0,33,18,2.84,3,0.47,14,3,9,5,9,3,6,10,446,16,70,265,117,18,11,72.7,27.3,263,657,15,14,2,7,8,314,10,8,3,0,1,41,6,4,60.0
Harvey Barnes,ENG,Newcastle Utd,FW,27-147,30,14,1503,9,4,0,0,6.6,3.9,80,72,172,0.54,0.24,0.39,0.23,N/a,N/a,N/a,N/a,32.7,3.29,0.16,15.0,420,78.8,5863,87.3,73.5,63.2,23,22,36,8,72,57,3.4,9,0.54,16,9,3,7,7,1,6,6,709,15,84,232,398,109,58,37.9,50.0,498,2160,80,41,44,26,20,567,172,11,20,5,41,49,5,14,26.3
Calvin Bassey,NG,Fulham,DF,25-125,33,32,2894,1,0,7,0,1.0,0.1,36,107,15,0.03,0.0,0.03,0.0,N/a,N/a,N/a,N/a,28.6,0.44,0.07,15.3,1822,89.8,32168,95.1,94.0,61.5,3,143,2,0,107,23,0.72,3,0.09,52,33,21,9,37,17,20,18,2317,308,1127,1090,124,19,31,45.2,32.3,1487,4539,36,18,5,32,8,1620,15,26,31,2,7,156,40,31,56.3
Altay Bayındır,TR,Manchester Utd,GK,27-021,2,2,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4.0,33.3,N/a,N/a,N/a,0.0,N/a,N/a,61,55.5,1625,100.0,92.1,30.2,0,1,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,120,103,118,2,0,0,0,N/a,N/a,82,145,0,0,0,0,0,77,0,0,0,0,0,0,1,1,50.0
Jan Bednarek,PL,Southampton,DF,29-023,29,29,2441,2,0,7,0,0.7,0.5,5,59,2,0.07,0.0,0.02,0.02,N/a,N/a,N/a,N/a,40.0,0.18,0.4,16.0,1547,92.7,27450,95.4,94.7,76.5,5,72,1,0,59,16,0.59,0,0.0,35,18,15,15,44,33,11,54,2011,365,1060,917,41,15,3,100.0,0.0,1035,1731,5,5,1,9,3,1294,2,31,12,0,1,106,68,36,65.4
Jean-Ricner Bellegarde,FR,Wolves,MFFW,26-312,32,19,1551,2,6,3,0,1.3,3.6,49,39,83,0.12,0.35,0.08,0.21,N/a,N/a,N/a,N/a,25.0,1.16,0.1,21.7,415,78.7,6398,89.2,80.9,56.4,26,27,17,8,39,53,3.08,10,0.58,37,22,13,6,19,3,16,10,756,24,139,339,295,45,60,23.3,51.7,464,1440,49,35,11,38,25,519,83,29,41,1,40,57,9,18,33.3
Rodrigo Bentancur,UY,Tottenham,MF,27-314,23,19,1518,2,0,7,0,1.3,0.4,26,99,34,0.12,0.0,0.08,0.03,N/a,N/a,N/a,N/a,22.7,1.3,0.09,17.4,916,88.1,14862,91.1,92.7,75.4,10,107,12,2,99,45,2.67,3,0.18,38,20,19,20,24,8,16,36,1252,70,299,747,215,24,18,44.4,44.4,739,1446,26,23,5,18,19,826,34,31,10,1,4,111,35,27,56.5
